Bdataset_number/I:physics_short/C:crossSection_pb/D:kFactor/D:genFiltEff/D:crossSectionTotalRelUncertUP/D
#1;95;0cid/I:name/C:xsec/F:kfac/F:eff/F:relunc/F
# cross-sections are in pb
# DSID	xsec	           k-fac	   eff		      rel. unc.
##########################################################################################################################
# ttbar
407330   0.04247953        1.0             1.0000E+00         0.0    
407331   0.00426656807953  1.0             1.0000E+00         0.0    
407332   2.116973          1.0             1.0000E+00         0.0    
407333   0.0702062017593   1.0             1.0000E+00         0.0    
407334   0.3648043         1.0             1.0000E+00         0.0    
407335   0.0105644608278   1.0             1.0000E+00         0.0    
###################################################
# Powheg
# k-factected/CrossSectionHighOrder)
361100   11306.0           1.01723999646   1.0                0.05   
361101   11306.0           1.01723999646   1.0000E+00         0.05   
361102   11306.0           1.01723999646   1.0000E+00         0.05   
361103   8282.7            1.03577349174   1.0000E+00         0.05   
361104   8282.8            1.03576098662   1.0000E+00         0.05   
361105   8282.6            1.03578599715   1.0000E+00         0.05   
###################################################
# Powheg
# k-factected/CrossSectionHighOrder)
361106   1901.2            1.02600047339   1.0000E+00         0.05   
361107   1901.1            1.02605444217   1.0000E+00         0.05   
361108   1901.2            1.02605444217   1.0000E+00         0.05   
###################################################
# Powheg
# From hyZjetsPowPy8Slice
361664   13960.0           1.0             5.1413E-02         0.0    
361665   6621.6            1.0             2.6643E-01         0.0    
361666   13960.0           1.0             5.4487E-02         0.0    
361667   6621.5            1.0             2.7369E-01         0.0    
361669   6621.8            1.0             1.5137E-02         0.0    
###################################################
# Pythia
361250   187600.0          1.0             1.0000E+00         0.0    
361251   58520.0           1.0             1.0000E+00         0.0    
###################################################
# aMcAtN
363845   2135.7            1.0             1.0000E+00         0.0    
363846   2136.4            1.0             1.0000E+00         0.0    
###################################################
# Sherpa
# NLO xs
361300   21390.0           0.90824         0.8915             0.0    
361301   21393.0           0.90824         0.04929            0.0    
361302   21392.0           0.90824         0.05973            0.0    
361303   633.58            0.90824         0.7278             0.0    
361304   632.73            0.90824         0.1760             0.0    
361305   632.86            0.90824         0.09637            0.0    
361306   90.119            0.90824         0.6832             0.0    
361307   90.068            0.90824         0.2048             0.0    
361308   90.132            0.90824         0.1126             0.0    
361309   5.7677            0.99913         0.6513             0.0    
361310   5.7479            0.99913         0.2210             0.0    
361311   5.7417            0.99913         0.1314             0.0    
361312   0.34842           0.99913         0.6306             0.0    
361313   0.34585           0.99913         0.243561           0.0    
361314   0.34632           0.99913         0.155              0.0    
361315   0.061116          0.99913         0.60962            0.0    
361316   0.060838          0.99913         0.202801           0.0    
361317   0.061675          0.99913         0.168701           0.0    
361318   0.0080112         0.99913         0.629245           0.0    
361319   0.0081198         0.99913         0.2375             0.0    
361320   0.0079548         0.99913         0.173096           0.0    
361321   3.0835e-05        0.99913         0.638441           0.0    
361322   3.1792e-05        0.99913         0.272781           0.0    
361323   3.143e-05         0.99913         0.165186           0.0    
361324   21398.0           0.90824         0.8915             0.0    
361325   21387.0           0.90824         0.04737            0.0    
361326   21381.0           0.90824         0.05973            0.0    
361327   633.65            0.90824         0.7278             0.0    
361328   632.48            0.90824         0.1760             0.0    
361329   632.67            0.90824         0.09637            0.0    
361330   89.876            0.90824         0.6832             0.0    
361331   90.08             0.90824         0.2048             0.0    
361332   90.107            0.90824         0.1126             0.0    
361333   5.7495            0.99913         0.6513             0.0    
361334   5.741             0.99913         0.2210             0.0    
361335   5.742             0.99913         0.1314             0.0    
361336   0.34766           0.99913         0.6306             0.0    
361337   0.34606           0.99913         0.2380             0.0    
361338   0.34578           0.99913         0.1640             0.0    
361339   0.061535          0.99913         0.632602           0.0    
361340   0.061573          0.99913         0.227699           0.0    
361341   0.060924          0.99913         0.1615             0.0    
361342   0.007838          0.99913         0.59789            0.0    
361343   0.0079128         0.99913         0.2375             0.0    
361344   0.0078595         0.99913         0.159623           0.0    
361345   3.0924e-05        0.99913         0.617928           0.0    
361346   3.08e-05          0.9991          0.267917           0.0 
361347   3.1292e-05        0.99913         0.192802           0.0    
361348   21397.0           0.90824         0.8915             0.0    
361349   21391.0           0.90824         0.04846            0.0    
361350   21391.0           0.90824         0.05973            0.0    
361351   633.28            0.90824         0.7278             0.0    
361352   633.25            0.90824         0.1760             0.0    
361353   632.48            0.90824         0.09637            0.0    
361354   90.024            0.90824         0.6832             0.0    
361355   90.16             0.90824         0.2048             0.0    
361356   90.131            0.90824         0.1126             0.0    
361357   5.781             0.99913         0.6513             0.0    
361358   5.7576            0.99913         0.2210             0.0    
361359   5.7404            0.99913         0.1314             0.0    
361360   0.34525           0.99913         0.6306             0.0    
361361   0.34655           0.99913         0.230541           0.0    
361362   0.34523           0.99913         0.1594             0.0    
361363   0.0606            0.99913         0.6232             0.0    
361364   0.06043           0.99913         0.220035           0.0    
361365   0.060541          0.99913         0.155527           0.0    
361366   0.0079929         0.99913         0.6114             0.0    
361367   0.0078888         0.99913         0.2375             0.0    
361368   0.0079588         0.99913         0.175976           0.0    
361369   3.1988e-05        0.99913         0.545399           0.0    
361370   3.0482e-05        0.99913         0.242272           0.0    
361371   3.1948e-05        0.99913         0.196031           0.0    
###################################################
# Sherpa
# NLO xs
# Filter
361372   2207.0            0.9012          0.7785             0.0    
361373   2206.0            0.9012          0.1422             0.0    
361374   2207.2            0.9012          0.0795             0.0    
361375   75.939            0.9012          0.6480             0.0    
361376   76.058            0.9012          0.2198             0.0    
361377   76.027            0.9012          0.1309             0.0    
361378   11.627            0.9012          0.6139             0.0    
361379   11.558            0.9012          0.2426             0.0    
361380   11.62             0.9012          0.1468             0.0    
361381   0.76897           0.99132         0.5836             0.0    
361382   0.76362           0.99132         0.2632             0.0    
361383   0.76417           0.99132         0.1594             0.0    
361384   0.04616           0.99132         0.5692             0.0    
361385   0.046201          0.99132         0.2692             0.0    
361386   0.046468          0.99132         0.1718             0.0    
361387   0.0080596         0.99132         0.5625             0.0    
361388   0.0081243         0.99132         0.2958             0.0    
361389   0.0081521         0.99132         0.1806             0.0    
361390   0.0010416         0.99132         0.5499             0.0    
361391   0.0010616         0.99132         0.3135             0.0    
361392   0.0010661         0.99132         0.1861             0.0    
361393   4.2887e-06        0.99132         0.4874             0.0    
361394   4.3389e-06        0.99132         0.3078             0.0    
361395   4.2851e-06        0.99132         0.2048             0.0    
361396   2204.1            0.9012          0.7785             0.0    
361397   2205.2            0.9012          0.1422             0.0    
361398   2204.4            0.9012          0.0795             0.0    
361399   75.909            0.9012          0.6480             0.0    
361400   76.132            0.9012          0.2198             0.0    
361401   76.063            0.9012          0.1309             0.0    
361402   11.653            0.9012          0.6139             0.0    
361403   11.661            0.9012          0.2426             0.0    
361404   11.667            0.9012          0.1468             0.0    
361405   0.76187           0.99132         0.5836             0.0    
361406   0.76012           0.99132         0.272103           0.0    
361407   0.76728           0.99132         0.163024           0.0    
361408   0.046017          0.99132         0.5692             0.0    
361409   0.046272          0.99132         0.265874           0.0    
361410   0.046287          0.99132         0.176439           0.0    
361411   0.0080386         0.99132         0.5625             0.0    
361412   0.0079744         0.99132         0.28873            0.0    
361413   0.0080793         0.99132         0.178631           0.0    
361414   0.001087          0.99132         0.5499             0.0    
361415   0.0010425         0.99132         0.282508           0.0    
361416   0.001061          0.99132         0.198009           0.0    
361417   4.0647e-06        0.99132         0.597261           0.0    
361418   4.189e-06         0.99132         0.325784           0.0    
361419   4.2477e-06        0.99132         0.246649           0.0    
361420   2198.9            0.9012          0.7785             0.0    
361421   2203.5            0.9012          0.1422             0.0    
361422   2205.7            0.9012          0.0795             0.0    
361423   76.31             0.9012          0.6480             0.0    
361424   76.036            0.9012          0.2198             0.0    
361425   75.985            0.9012          0.1309             0.0    
361426   11.66             0.9012          0.6139             0.0    
361427   11.617            0.9012          0.2426             0.0    
361428   11.646            0.9012          0.1468             0.0    
361429   0.76445           0.99132         0.5836             0.0    
361430   0.76263           0.99132         0.255775           0.0    
361431   0.75982           0.99132         0.1594             0.0    
361432   0.045882          0.99132         0.5692             0.0    
361433   0.046157          0.99132         0.2692             0.0    
361434   0.046283          0.99132         0.1718             0.0    
361435   0.0081358         0.99132         0.5625             0.0    
361436   0.0080177         0.99132         0.2958             0.0    
